Protein_Gene	RNA_Gene		
IGF2BP1	CD81		
IGF2BP1	CD99L2		
IGF2BP1	CDC123		
IGF2BP1	CDC20		
IGF2BP1	CDC23		
IGF2BP1	CDC25A		
IGF2BP1	CDC25B		
IGF2BP1	CDC37		
IGF2BP1	CDC42BPA		
IGF2BP1	CDC42SE1		
IGF2BP1	CDC45		
IGF2BP1	CDC6		
IGF2BP1	CDC7		
IGF2BP1	CDCA2		
IGF2BP1	CDCA5		
IGF2BP1	CDCA7		
IGF2BP1	CDCA7L		
IGF2BP1	CDCA8		
IGF2BP1	CDH2		
IGF2BP1	CDH23		
IGF2BP1	CDIP1		
IGF2BP1	CDIPT		
IGF2BP1	CDK1		
IGF2BP1	CDK12		
IGF2BP1	CDK16		
IGF2BP1	CDK17		
IGF2BP1	CDK2		
IGF2BP1	CDK4		
IGF2BP1	CDK5R1		
IGF2BP1	CDK6		
IGF2BP1	CDKN1A		
IGF2BP1	CDKN1B		
IGF2BP1	CDKN2A		
IGF2BP1	CDKN2AIP		
IGF2BP1	CDKN2C		
IGF2BP1	CDKN3		
IGF2BP1	CDR1-AS		
IGF2BP1	CDR2		
IGF2BP1	CDT1		
IGF2BP1	CDV3		
IGF2BP1	CDYL		
IGF2BP1	CELF1		
IGF2BP1	CENPC		
IGF2BP1	CENPF		
IGF2BP1	CENPH		
IGF2BP1	CENPK		
IGF2BP1	CENPN		
IGF2BP1	CENPO		
IGF2BP1	CEP104		
IGF2BP1	CEP170		
IGF2BP1	CEP170B		
IGF2BP1	CEP192		
IGF2BP1	CEP350		
IGF2BP1	CEP57		
IGF2BP1	CEP57L1		
IGF2BP1	CEP72		
IGF2BP1	CEP85		
IGF2BP1	CEP95		
IGF2BP1	CERK		
IGF2BP1	CERS2		
IGF2BP1	CES2		
IGF2BP1	CFAP20		
IGF2BP1	CFDP1		
IGF2BP1	CFL1		
IGF2BP1	CGGBP1		
IGF2BP1	CH507-9B2.3		
IGF2BP1	CHCHD1		
IGF2BP1	CHCHD10		
IGF2BP1	CHCHD3		
IGF2BP1	CHCHD7		
IGF2BP1	CHD1		
IGF2BP1	CHD1L		
IGF2BP1	CHD3		
IGF2BP1	CHD4		
IGF2BP1	CHD6		
IGF2BP1	CHD7		
IGF2BP1	CHD8		
IGF2BP1	CHD9		
IGF2BP1	CHEK1		
IGF2BP1	CHERP		
IGF2BP1	CHMP1A		
IGF2BP1	CHMP2B		
IGF2BP1	CHMP3		
IGF2BP1	CHMP4B		
IGF2BP1	CHMP7		
IGF2BP1	CHN1		
IGF2BP1	CHPF2		
IGF2BP1	CHRAC1		
IGF2BP1	CHST11		
IGF2BP1	CHSY1		
IGF2BP1	CHTF8		
IGF2BP1	CIAO1		
IGF2BP1	CIAPIN1		
IGF2BP1	CIC		
IGF2BP1	CIRBP		
IGF2BP1	CIRH1A		
IGF2BP1	CIZ1		
